start	end	text
1034140	1039180	And then that takes you to your own enlightenment.
1039180	1042880	And then when you've achieved enlightenment, when you become a Buddha, then you really
1042880	1050300	will be able to bring happiness and enjoyment and so forth to all sentient beings.
1050300	1051980	You will have that ability.
1051980	1075980	So Buddha, bodhicitta is like that then and you know we really need to be able to think
1075980	1080300	about that so we can understand that and so we can see that.
1081160	1087140	That's what medicine can be called.
1087140	1097080	It's when young people can think of what they say and think they will try to perform Light towards them.
1097080	1105020	When the time comes down to work they will try to perform the Light towards themselves.
1105020	1134960	Then besides that, the practices of the person of small, small, small, small, small,
1135960	1146960	capability are done in order to be free of the fear of the three unfortunate realms,
1146960	1155960	three suffering realms. And if you generate bodhicitta, that bodhicitta will protect you from that suffering.
1164960	1193960	And how that is possible is that,
1194960	1203960	when you generate bodhicitta, it has that really exceptional, extraordinary power.
1203960	1211960	Because with that, as part of your continuum, then you're not going to harm sentient beings, are you?
1211960	1222960	You want harm sentient beings. Therefore you won't accumulate the destructive karma that you get from harming sentient beings.
1222960	1232960	And because you haven't created the cause, then you won't have to be born in the three realms.
1253960	1267960	So there is this real extra power that comes from having bodhicitta.
1267960	1275960	And through that you're able to accumulate merits in a very powerful way.
1275960	1288960	And also that mind of bodhicitta, it's overpowers all of one's negative karma.
1306960	1333960	And in relation to this,
1333960	1355960	in the bodhicitta of Atara, Shantita of A, points out that if you want to free yourself of hundreds of sufferings in a cyclic existence,
1355960	1364960	then always at all times meditate on bodhicitta.
1386960	1396960	This is the benefit of having bodhicitta then.
1396960	1407960	That while we are in cyclic existence, we have so much suffering, hundreds of sufferings are like so much suffering.
1408960	1429960	And this is because of not having bodhicitta, whereas if you have bodhicitta, then it gets rid of all that.
1429960	1439960	That's the power of bodhicitta, then that if you have bodhicitta and you continue, then you get rid of yourself from so much some sorry suffering.
1459960	1481960	And likewise he says that if you want to experience hundreds and maybe even tens of thousands of kinds of happiness,
1481960	1510960	then the way to do that is by never being separated from bodhicitta, in other words always to always meditate on bodhicitta.
1510960	1519960	What this means is that if you generate bodhicitta, then even while you are in cyclic existence, there you have so much happiness.
1541960	1568960	And besides that, if what you want to do is to dispel all of the suffering
1568960	1595960	and discomfort of all the sentient beings, the way to do that is never be separated from bodhicitta to always meditate on bodhicitta.
1595960	1624960	And if you have bodhicitta and you continue to meditate on bodhicitta to always meditate on bodhicitta to always meditate on bodhicitta to always meditate on bodhicitta to always meditate on bodhicitta to always meditate on bodhicitta.
1624960	1653960	And so thinking about this idea of wanting to achieve enlightenment in order to be a benefit to the transgressor,
1653960	1668960	transmigratory beings, if we think about it then when we recite those words, we will be able to recite them with real experience, some feeling in the mind.
1668960	1691960	That comes from understanding just how important the sentient beings are, how precious sentient beings are, and with that understanding not wanting at all to harm them, understanding that to harm sentient beings is a really bad thing.
1691960	1701960	And that we only want to help the sentient beings as much as possible at all times.
1721960	1736960	And when we are listening to teachings, we need that kind of motivation as well.
1736960	1763960	So in fact whether we are studying, whether we are doing our recitations, reciting anything, whatever might be scriptures and so on, any kind of virtuous activity.
1763960	1789960	If we can proceed that with the thought that this is something I'm doing in order to achieve enlightenment, so that I'll be a benefit, I'll be a benefit, real benefit to all the sentient beings, then any kind of virtuous activity that we do will become a cause of achieving Buddhahood.
1789960	1809960	So I'll be a benefit to all the sentient beings as much as possible at all times.
1809960	1838960	I'll be a benefit to all the sentient beings as much as possible at all times.
1839960	1860960	And anyways, so here we are at the point in the text where we're going into the refutation of production from the four extremes, so refuting production from self, refuting production from other.
1860960	1880960	And this all goes to establishing or proving that there is no existence by its own nature, that there is no production by its own nature.
1890960	1919960	So I'll be a benefit to all the sentient beings as much as possible at all times.
1919960	1925960	I'll be a benefit to all the sentient beings as much as possible at all times.
1925960	1946960	In the case of the refutation of production from self, we have these two consequences that were stated by Buddha Palata, one being that it absurd consequences.
1946960	1962960	So consequence number one that being produced again would be meaningless and secondly that being produced again would be endless or infinite.
1976960	2005960	And the essential point that we need to understand here is that the opposite of those two absurd consequences, namely that being produced again would be meaningful.
2005960	2018960	There would be purpose and being produced again would be finite. These two opposites of those absurd consequences are not accepted by the present Gekers.
2035960	2064960	Then in the case of the refutation of production from other, there are again two absurd consequences.
2064960	2070960	There are many but there are two in particular that we focused on.
2070960	2091960	And they both come from the assumption that what would happen if there was production of an inherently existing result from an inherently existing cause, which is different from it.
2091960	2107960	Mainly the absurd consequences would be that from a flame, dense darkness would be produced and the other one is that from everything would be produced.
2108960	2136960	The absurd consequences would be that from a flame, dense darkness would be produced and the other one is that from a flame, dense darkness would be produced and the other one is that from a flame, dense darkness would be produced and the other one is that from a flame, dense darkness would be produced.
2136960	2141960	But in the case of the present Gekers, there are again two absurd consequences.
2141960	2161960	Now here with these two absurd consequences when you look at the opposite of them, which are that darkness, dense darkness does not arise from a flame
2161960	2167560	and that everything is not produced from everything else.
2167560	2171560	Those are accepted by the Prime Minister Geekers.
2191960	2221840	And then, yes, so this is where we have this important
2221840	2232240	point is made that not all reverses of all, sorry, yeah, when in the clear words, when
2232240	2242760	Chandakity talks about not accepting the opposite of the absurd consequences, then Lamasongrappa
2242760	2251760	points out that actually that statement that we do not, you know, we don't accept
2251760	2257240	the opposite of the consequences, is not something that is applicable to all of the absurd
2257240	2258240	consequences.
2258240	2265880	It's just the absurd consequences that were stated in the refutation of production from
2265880	2268880	self.
2268880	2292400	I just repeat that in case, in case I've got that, what I said, I'll support God myself.
2292400	2300840	Well, I think it was, so bringing that to this point here in the text where the opponent
2300840	2309920	has quoted three passages from the clear words, saying that we don't accept the opposite
2309920	2316160	of the absurd consequences, Lamasongrappa points out that that's applicable in the case
2316160	2336160	of refuting other, sorry, production from self, it's not applicable to all absurd consequences.
2336160	2343640	And so this was the second point from before which was that it's, you know, from the
2343640	2354840	heading anyway, it's not contradictory, not to accept the opposite of the consequences.
2355840	2361840	Oh, that's the third point, that's the third point, that's the third point, that's the third point,
2361840	2372840	that's the third point, that's the third point, that's the third point, that's the third point,
2372840	2381840	that's the third point, that's the third point, that's the third point, that's the third point,
2381920	2394040	that's the third point, that's the third point, the third point, that's the third point,
2394040	2403400	I should rephrase that, this is not contradictory with the statement that we did not accepting
2403400	2405480	the opposite of the consequence.
2405480	2414800	So then one thing that I was saying that it's really key here is that we need to actually
2414800	2422520	understand for ourselves why those absurd consequences would follow if there were production
2422520	2431880	from itself, why those other absurd consequences would have to follow in the case of production
2431880	2432880	from other.
2452520	2463280	So we should be able to say that we need to understand it well enough so that if somebody
2463280	2471800	were to ask us why do those consequences follow from that position, we should be able to
2471800	2489640	explain to them.
2489640	2500000	So yeah if we are able to explain why it is that those absurd consequences follow from
2500000	2504920	production from itself and why those other two consequences of absurd consequences follow
2504920	2510120	from production if there is production from other.
2510120	2525800	If we are able to do that then that's the main point.
2525800	2529960	And to be able to understand of course you need to know what it means to say,
2529960	2539960	produce from itself or produce from other.
2539960	2555000	So we should be able to understand it well enough so that we can understand it well enough so that
2555000	2562920	we can understand it well enough so that we can understand it well enough so that we can understand
2563180	2575920	it well enough so that we can understand what it means to say production from
2575920	2583800	itself, production from other, why those consequences would follow and why therefore there is no such
2583800	2587200	This thing is production from self and production from others.
2608920	2613440	And so we need to have a really clear and deep understanding
2613440	2618800	that this is what production from self means.
2619000	2623960	And if you say there is such a thing as production from self,
2623960	2626640	then it's completely incorrect.
2626640	2628960	There is no production from self.
2628960	2632800	And likewise, you know, this is what's production from other means.
2633480	2635040	It's completely incorrect.
2635080	2638200	There is no such thing as production from others.
2639200	2643200	So, this is what production from self and production from others.
2643200	2645200	It's completely incorrect.
2645200	2647200	It's completely incorrect.
2647200	2649200	It's completely incorrect.
2649200	2652200	It's completely incorrect.
2652200	2654200	It's completely incorrect.
2655200	2658200	Now we'll carry on with the text,
2658200	2663200	which means we're on page 212 down the bottom,
2663200	2665200	which is where the...
2665200	2667200	You see the title of this section,
2667200	2672200	rejecting the response aimed at avoiding these faults.
2683200	2686200	And like it says, then for that you've got,
2686200	2690200	first of all, the response aimed at avoiding these faults
2690200	2693200	and then rejecting that response.
2696200	2702200	So the response which is aimed avoiding those faults,
2702200	2730400	So the response which is aimed at avoiding those thoughts is if you look towards the top
2730400	2742760	of a page 113 here the opponent states following cause and effect are other than one another by virtue
2742760	2749280	of their intrinsic characters but this does not mean that anything can arise from anything
2749280	2757880	for one can see that cause and effect in their own ways have a determinant correlation
2787880	2813240	So what's going on here is that we have said that these absurd consequences that would
2813240	2821880	follow if you accept other production one which is that from everything everything would be
2821880	2836840	produced and then also from from a flame thick darkness would arise and so the opponent in this
2836840	2847000	argument says no that would not be the case even though the cause and the effect are inherently
2847000	2856760	existent and different from each other they still would these absurd consequences would not
2856760	2862760	follow because we can see that they they are I don't know so sort of needs like a different or
2862760	2886720	separate individual what they're saying you know when they say it is seen right
2886720	2895680	this there one can see he's there's right so one can see what that means is these
2895680	2902960	constant absurd consequences wouldn't follow because we can see that from specific causes
2902960	2931040	specific results arise so according to our text then it's after that that we have the
2931040	2956400	diverse from the root text
2956400	2963200	so we've got a verse and that which is got four lines and the first two lines just like in the
2963200	2973840	English the first response for you know by the opponent that which is thoroughly capable of being
2973840	2982800	produced is called therefore the effect and that which is capable of producing it though other
2982800	2984800	is the cause
3042880	3051920	having stated that root verse then you get the what we call the word commentary so commentary
3051920	3058640	by lamas and gather on the words of that verse addressing the words of that verse so this is four
3058640	3068320	lines down into that paragraph this is so because that very thing that is capable of being
3068320	3076960	produced by another thing is called or deemed therefore the effect of that other thing the
3076960	3084880	presence of the word therefore is at variance with the uh uh at variance with the commentary
3084880	3092320	at a specific cause that is capable of producing it the effect though it is intrinsically other
3092400	3099840	is the cause and hence is determined to be the cause therefore so they assert it is only by
3099840	3105760	means of a special type of otherness that cause and effect are positive not on the base of mere
3105760	3109120	otherness in general
3152800	3163200	so what this is saying is that if any cause has the and the the ability potential ability
3163200	3170960	in nubah to produce a given effect then that effect is said to be the effect of that cause
3182800	3197840	and therefore be uh even though uh the cause and effect are an
3197840	3204480	hernia existent and different we can still say that uh that effect is the result of
3205280	3213840	that cause so this is what the the um the opponent is saying right the kachik
3217280	3220880	that's that's the that's their their reply you know
3234960	3244560	and uh then uh to repeat these these words of Lamasongkapa uh that we just read therefore
3245200	3251280	so they assert it is only by means of a special type of otherness that cause and effect are
3251280	3252880	positive
3274320	3280800	so the opponent's reply in other words is that it's not just from
3282240	3290000	you know for the cause to produce the result is not enough uh simply to be other it has to be
3290000	3294240	a particular kind of other and that's so that's what he says you know therefore so they assert
3294240	3297120	means of a special type of otherness is required
3311840	3332160	yes so um even though they are inherently existent and uh other it doesn't follow that uh everything
3332160	3340240	produces everything because um actually uh it's not just that they are inherently existent
3340240	3348160	other they have to be um inherently and also inherently other in a in a particular way a special
3348880	3356000	type of otherness and on that basis you can uh posit the uh everything about you know cause and effect
3371200	3377920	so we'll uh read that again i think that would be uh useful that it's still the main point really
3378640	3386240	uh you know it captures the main point therefore so they assert it is only by means of the special
3386240	3392640	type of otherness that cause and effect are positive not on the basis of mere otherness in general
3401040	3429280	and then after that um we deal with the last two lines of that verse so um sharing
3429360	3433280	the same continuum i mean that's just means it's another way of saying included in the same
3433280	3442640	continuum uh the uh effect arises from the uh uh yeah from the producer it's producer hence rice
3442640	3446480	sprouts cannot come from something like barley seeds
3459600	3472720	and then uh for the commentary on that furthermore
3474160	3481360	since uh sorry furthermore rice sprouts come from rice seeds sharing or included in
3481360	3489120	the same continuum they cannot come from something like barley seeds which uh uh
3489280	3492000	are not included in the same continuum
3520240	3523760	um
3534880	3542480	yeah so um here what he's uh yeah what he's saying is that
3542720	3551200	or you know in other words what the the the opponent is saying is that uh the uh
3551200	3558560	in like in the in the case of the the sprout and the seed so the the sprout for the sprout to be
3558560	3569040	produced from uh its seed they need to it needs to be the same substantial uh continuum or
3569120	3573520	positive maybe we'll say it's the same continuum of substance substantial continuum
3574400	3578240	otherwise it won't be produced uh uh from that seed
3599360	3626400	and then uh so yeah then he goes on to say um even in cases where they are included in the same
3626400	3631760	continuum or share the same continuum only from those that are its producer can be effector
3631760	3645360	rise so so what this is uh what he's saying here is that furthermore the the later uh the the later
3645360	3653360	sort of um parts of that continuum would not produce the earlier parts of that uh continuum
3653480	3659440	um
3673920	3678800	And so it's not enough to be uh
3678800	3690520	It's not enough to be the same continuum, it also has to be, you know, to be the cause,
3690520	3692800	it also has to be earlier.
3692800	3701760	A later one, even though it's the same continuum, would not be continuity, would not be the cause.
3701760	3731640	So, just to repeat that bit, so, um, uh, where will we end up specifically, um,
3731640	3742560	yeah, um, yeah, furthermore, rice sprouts come from, uh, rice seeds, including the same continuum.
3742560	3748040	They cannot come from something like, yeah, I'm sorry, that I went back too far.
3748040	3755280	Yeah, even, it's in the middle of that paragraph on page 213, even in cases where they are included
3755280	3762280	in the same continuum, only from those that are, it's producing the effect of, uh, rice.
3762280	3763280	Hmm.
3763280	3764280	Okay.
3764280	3768160	Oh, and I think we have to repeat a bit more.
3768160	3773560	For example, subsequent instances do not produce preceding instances.
3773560	3781200	It is only the preceding instances within the same continuum that produce subsequent instances.
3781200	3782200	Yeah.
3782200	3783200	Yeah.
3783200	3806920	So, it is only the preceding instances within the same continuum that produce subsequent instances.
3806920	3815040	Therefore, um, not just anything can arise from anything.
3815040	3841640	Um, yeah, I thought it was, um, yeah, I thought it was, um, yeah, I thought it was, um, yeah,
3841640	3855640	um, yeah, I thought it was, uh, pretty clear, pretty clear, that's it, pretty clear, that's it.
3855640	3883640	So, um, yeah, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it.
3883640	3900640	So, this is the reply from the opponent saying that there is not the, the absurd consequence that everything will be produced from everything if you accept production from other.
3914640	3920640	Now, that reply from the opponent is not correct.
3920640	3925640	So, the next thing that we see is a refutation of that reply.
3944640	3953640	Yes.
3953640	3971640	So, let's see, to those who speak of the cause and effect as existing by virtue of their own existence, we asked the following.
3971640	3977640	What is the reason for the determinant correlation between a seed and a rice sprout?
4001640	4017640	So, he was going on is that they have said the opponent has said that there is a seed and a rice sprout.
4017640	4029640	So, he was going on is that they have said the opponent has said that
4029640	4042640	there is a determinant other, sorry, a determinant otherness between the seed and the sprout.
4042640	4052640	And so, the question that they have been asked when they take that position is what's the reason?
4052640	4061640	What's your reason for saying that they have a determinant, a determinant difference or otherness?
4083640	4094640	And then in the text it says, if the opponent answers, we can see such a determinant correlation.
4094640	4106640	In other words, if they reply to what's your reason for saying that they have a determinant difference, they reply,
4106640	4113640	well, we can see that there is this determinant, I know it's his correlation, but anyway,
4113640	4117640	that we can see that determinant or fixed difference.
4118640	4129640	That mean then, what's the reason for that?
4129640	4146640	The 1st class is one disease, disease ishouse, big disease is the common disease,
4146640	4167640	Then what we say to that is, when probed in this way, so we might ask them, why is it that you see such a fixed correlation?
4167640	4175640	And then when they are probed in this way, when they're examining this way, then the opponent is reduced to simply stating,
4175640	4183640	because such a determinant correlation can be observed, we see such a determinant correlation.
4183640	4195640	In doing so, the opponent, in fact, does not present a reason for the existence of such a determinant unique causal connection.
4195640	4202640	Therefore, he cannot avoid any of the objections outlined above in the slightest.
4202640	4212640	In the case of such a determinant, such a determinant correlation can be observed in this way.
4212640	4219640	Such a determinant correlation can be observed in this way.
4219640	4229640	In the case of such a determinant, such a determinant correlation can be observed in this way.
4229640	4239640	In the case of such a determinant, such a determinant correlation can be observed in this way.
4239640	4262640	So, the rice seed produces a rice sprout. It doesn't produce a body sprout.
4262640	4269640	So, we can see that the rice seed produces a body sprout.
4269640	4279640	We see that the rice seed doesn't produce everything.
4279640	4289640	And when asked, well, how do you know that they are separate, then it's just, that's all they can say is, we can see it.
4289640	4298640	We can see they're different.
4298640	4320640	So, what they're saying really is that in response to the question, how is it you see, then they just say, well, we really see.
4320640	4323640	And they can't really say anything more than that.
4323640	4349640	And so, what Lamasoka is saying in the commentary is, this is not a good enough reason.
4349640	4362640	So, they're saying they haven't really been able to answer how it is that they see that there is a determinant difference between the two.
4362640	4370640	And so, they are left with the fault as stated.
4379640	4397640	So, what they're saying is that they are left with the fault as stated in the commentary.
4397640	4423640	So, that was the argument as found in the auto commentary.
4423640	4435640	And then Lamasoka, you know, states basically the same, which is called the argument.
4435640	4442640	So, he says, so at the top of page 14, you see, you see, you see it says, that's Chantakiti argues.
4442640	4448640	So, then Lamasoka, Lamasoka says is, the meaning of the above paragraph is this.
4448640	4462640	The opponent has failed to demonstrate any reason why there is no contradiction in asserting a determinant correlation between cause and effect, even though the two are distinct by virtue of intrinsic characteristics.
4462640	4465640	So, his rebuttal does not remove the fault.
4478640	4503640	Then, furthermore, to underline the fact that this otherness through intrinsic characteristics would equally apply to everything,
4503640	4514640	whether or not they are related to each other as cause and effect, and that the opponents, he says, heralded.
4514640	4520640	So, I don't know, heralded very well, I shouldn't drop it, he's like very well-known.
4520640	4528640	A claim would in fact undermine his own standpoint, the text, says the following.
4550640	4580640	So, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says, he says,
4580640	4588540	he says, he says. He say, he dome, see? He says, he says, he says, you know, he says, he says, he says you scum, he says, he says, he says, he says, he says, he says, he says, he says he goes by himself and see, he says, he says, he says, he says, he says, he said, he д
4588540	4591940	We're killing each other.
4591940	4598980	So this, when it says the opponent's heralded claim,
4598980	4605180	so heralded, which literally means very well-known,
4605180	4608380	what that means is very well-known and very well
4608380	4611860	accepted by all the tenet systems
4611860	4615380	from the swatantric downwards, that it's not just
4615380	4620220	caused an effect that inherently,
4620220	4623220	inherently, inherently existent and different from each other.
4623220	4628180	But, you know, everything is kind of like inherently
4628180	4633060	existent and other than, you know, and other kind of thing.
4633060	4636220	Not, it's not just caused an effect.
4645380	4666020	And for the root text, we have the verse 16, chapter 6.
4666020	4671780	So the objection, you do not think of barley, lotus pistols,
4671780	4676740	kimshuka, flowers, and so on as producing rice sprouts.
4676740	4678820	Indeed, they have no power to do so.
4678820	4681580	They do not belong to the same continuum.
4681580	4683220	They see no likeness.
4683220	4686180	Likewise, rice is also being other,
4686180	4691460	different from their, differ from their sprouts as well.
4701780	4731780	So the question is, what is the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the meaning of the
4731780	4761780	meaning of the meaning of the meaning of the meaning
4761780	4768340	pistols of lotus, kimshuka flowers and so on, on account of just being
4768340	4776220	other as producing rice sprouts. Indeed they have no power to do so. They do not
4776220	4782020	belong to the same continuum and they share no proceeding instances of
4782020	4789940	likeness as rice sprouts. Likewise rice seeds also being other would not
4789940	4798460	possess these four characteristics with respect to the rice sprout. For they
4798460	4803660	too differ from their sprouts by virtue of their own intrinsic characteristics
4803660	4811820	as well. This type of argument demonstrates how the notion of the presence or
4811820	4817380	absence of these four characteristics cannot be pushed into even in
4817380	4822860	relation to the things that are separate and unrelated.
4829340	4833540	That's right.
4833540	4836540	That's right.
4847380	4859380	From the example of S eye area, I hope this story will be great news because
4860420	4872680	if you do not want to see swelling or is the
4872680	4902680	I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do
4902680	4932680	I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to do, I don't know what to use
4932680	4934320	to a rice sprout.
4934320	4937920	We are born in a dimension where we are born in a dimension.
4946800	4949040	Cretan is born in a dimension where we are born in a dimension.
4951000	4957600	Are you coconuts or maybe you are born in a dimension…
4957600	4987600	Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara.
4987600	5017600	Shishara. Shishara. Shishara. Shishara. Shishara.
5017600	5047600	Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara. Shishara.
5047600	5051600	Lotus pistols, Kamishika flowers and so on.
5061600	5067600	Then also those same things, you know, so the Bali, the Lotus pistols and so on,
5067600	5071600	do not belong to the same continuum.
5071600	5075600	So before he was translating this to not share, so just so you know,
5075600	5081600	they do not belong to the same continuum. That's the third one.
5085600	5089600	They do not belong to the same continuum.
5089600	5107600	Then the thought one would be they share or they have no preceding instances of lightness.
5119600	5125600	But then they do not have the preceding or if they did not belong to the same continuum.
